wellName,MD,CALI,DT,GR,NPHI,RHOB,PHIF,SW,RACEHM_LOG
15/9-F-1 A,3431.0,8.6718,86.9092,53.9384,0.3222,2.7514,0.02,1.0,-0.2937944384705612
15/9-F-1 A,3431.1,8.625,86.4334,57.2889,0.3239,2.7978,0.02,1.0,-0.32836439877279594
15/9-F-1 A,3431.2,8.625,85.9183,59.0455,0.3277,2.8352,0.02,1.0,-0.29998892034770114
15/9-F-1 A,3431.3,8.625,85.3834,58.255,0.3357,2.8557,0.02,1.0,-0.21838822755996304
15/9-F-1 A,3431.4,8.625,84.8484,59.4569,0.3456,2.8632,0.02,1.0,-0.1478251022940178
15/9-F-1 A,3431.5,8.625,84.2768,58.0765,0.3547,2.8663,0.02,1.0,-0.16411927261870835
15/9-F-1 A,3431.6,8.625,83.6823,58.15,0.3627,2.873,0.02,1.0,-0.19010375070634802
15/9-F-1 A,3431.7,8.625,83.0878,59.7111,0.3694,2.8819,0.02,1.0,-0.27967527514034524
15/9-F-1 A,3431.8,8.625,82.4643,60.8114,0.3732,2.8906,0.02,1.0,-0.3489159010585857
15/9-F-1 A,3431.9,8.625,81.8187,60.8837,0.3747,2.8992,0.02,1.0,-0.32753268139244757
15/9-F-1 A,3432.0,8.625,81.1732,60.1783,0.3773,2.9092,0.02,1.0,-0.2640819018169272
15/9-F-1 A,3432.1,8.625,80.5231,60.0818,0.3853,2.9188,0.02,1.0,0.5943041280797537
15/9-F-1 A,3432.4,8.625,78.7291,64.7163,0.4063,2.9315,0.02,1.0,-0.035316185023959334
15/9-F-1 A,3432.5,8.6251,78.4289,64.6131,0.4045,2.9234,0.02,1.0,0.1650364799945654
15/9-F-1 A,3432.6,8.6718,78.1291,65.2895,0.4001,2.9092,0.02,1.0,0.018201022496291276
15/9-F-1 A,3432.7,8.6251,77.9926,64.5827,0.3934,2.8967,0.02,1.0,-0.016103208673694226
15/9-F-1 A,3432.8,8.6483,78.078,62.1058,0.386,2.8935,0.02,1.0,-0.1021530684204283
15/9-F-1 A,3432.9,8.625,78.1638,61.1568,0.3797,2.8974,0.02,1.0,-0.2820799741630064
15/9-F-1 A,3433.0,8.625,78.474,59.8089,0.3731,2.899,0.02,1.0,-0.243211801231882
15/9-F-1 A,3433.1,8.625,79.1559,59.272,0.3634,2.8926,0.02,1.0,-0.002482560585275175
15/9-F-1 A,3433.2,8.6251,79.8378,57.6589,0.3492,2.8816,0.02,1.0,0.11564378966994096
15/9-F-1 A,3433.3,8.6718,80.4594,58.4074,0.3297,2.8683,0.02,1.0,0.18540048319045263
15/9-F-1 A,3433.4,8.625,80.9579,57.8403,0.3164,2.8518,0.02,1.0,0.01586250809731383
15/9-F-1 A,3433.5,8.625,81.4561,59.0253,0.3049,2.8261,0.02,1.0,-0.0670698571692105
15/9-F-1 A,3433.6,8.625,81.8432,58.8374,0.2993,2.7914,0.02,1.0,-0.08045124103115196
15/9-F-1 A,3433.7,8.625,81.9454,58.6051,0.2999,2.7527,0.02,1.0,-0.07935499859321243
15/9-F-1 A,3433.8,8.625,82.0473,62.7959,0.3047,2.7194,0.02,1.0,-0.08767164203958999
15/9-F-1 A,3433.9,8.625,82.0239,65.9723,0.3117,2.6961,0.02,1.0,-0.09799710864927055
15/9-F-1 A,3434.0,8.625,81.5873,66.5435,0.3175,2.6783,0.02,1.0,-0.11249522576462213
15/9-F-1 A,3434.1,8.625,81.1505,70.6767,0.3181,2.6566,0.02,1.0,-0.13930272594796114
15/9-F-1 A,3434.2,8.625,80.6994,72.7456,0.3134,2.627,0.02,1.0,-0.14666689499766478
15/9-F-1 A,3434.3,8.625,80.1841,72.5227,0.3055,2.5898,0.0422,1.0,-0.10496440254767736
15/9-F-1 A,3434.4,8.6249,79.6689,70.1513,0.2982,2.5523,0.0648,1.0,-0.07551395626608501
15/9-F-1 A,3434.5,8.5781,79.1947,64.3046,0.2933,2.5186,0.0851,1.0,-0.06153031163235465
15/9-F-1 A,3434.6,8.5781,78.9789,58.7215,0.2836,2.4902,0.1022,0.882,-0.05286048235717089
15/9-F-1 A,3434.7,8.5781,78.7631,54.6092,0.2692,2.4662,0.1167,0.7896,-0.04774046340917945
15/9-F-1 A,3434.8,8.5781,78.5854,51.0885,0.2521,2.4444,0.1298,0.7222,-0.049829940191799905
15/9-F-1 A,3434.9,8.5781,78.7955,49.5079,0.2347,2.4227,0.1429,0.6568,-0.05843887976392922
15/9-F-1 A,3435.0,8.5781,79.0056,49.6982,0.2199,2.4007,0.1424,0.6622,-0.07052998382251052
15/9-F-1 A,3435.1,8.5781,79.2306,48.2867,0.2086,2.3785,0.1551,0.6681,-0.08953568400438638
15/9-F-1 A,3435.2,8.5781,79.7968,45.0773,0.2007,2.3583,0.1666,0.7383,-0.10779405402422744
15/9-F-1 A,3435.3,8.5781,80.3631,38.6371,0.1953,2.3403,0.177,0.8148,-0.11446916681190787
15/9-F-1 A,3435.4,8.5781,80.9342,32.3912,0.192,2.3258,0.1853,0.8335,-0.12337808396572701
15/9-F-1 A,3435.5,8.5781,81.5354,29.4624,0.1894,2.3153,0.1913,0.8684,-0.15403423845451625
15/9-F-1 A,3435.6,8.5781,82.1418,26.9639,0.1871,2.3089,0.1949,0.8864,-0.18039026724841478
15/9-F-1 A,3435.7,8.5781,82.7478,25.8226,0.1858,2.3061,0.1965,0.9049,-0.2073282108584327
15/9-F-1 A,3435.8,8.5781,83.202,24.344,0.187,2.3066,0.1962,0.931,-0.25095973129654275
15/9-F-1 A,3435.9,8.5781,83.6471,23.9571,0.1919,2.3085,0.1951,0.9546,-0.29132420727346303
15/9-F-1 A,3436.0,8.5781,84.0916,24.6456,0.1991,2.3096,0.1945,0.9713,-0.3088300658683961
15/9-F-1 A,3436.1,8.5781,84.3467,24.2384,0.2065,2.3095,0.1946,0.983,-0.324863495532006
15/9-F-1 A,3436.2,8.5781,84.5797,24.6504,0.2128,2.309,0.1949,0.9988,-0.3488189375553121
15/9-F-1 A,3436.3,8.5781,84.8124,25.2113,0.2168,2.3095,0.1946,1.0,-0.36141091670728304
15/9-F-1 A,3436.4,8.5781,84.9401,24.23,0.2176,2.311,0.1937,1.0,-0.3689623034632596
15/9-F-1 A,3436.5,8.5781,85.0489,27.1613,0.215,2.3134,0.1923,1.0,-0.37716452047847976
15/9-F-1 A,3436.6,8.5781,85.1575,28.248,0.2115,2.3168,0.1904,1.0,-0.3889142665851274
15/9-F-1 A,3436.7,8.5781,85.2034,29.8957,0.2098,2.321,0.188,1.0,-0.39674733801835316
15/9-F-1 A,3436.8,8.5781,85.2334,30.9831,0.2106,2.3254,0.1855,1.0,-0.4067139329795427
15/9-F-1 A,3436.9,8.5782,85.263,31.2243,0.2121,2.3285,0.1837,1.0,-0.4110563572599851
15/9-F-1 A,3437.0,8.6015,85.1376,31.7231,0.21,2.3287,0.1836,1.0,-0.41049720373623627
15/9-F-1 A,3437.1,8.5781,84.9609,31.3971,0.2129,2.3262,0.185,1.0,-0.40340290437353976
15/9-F-1 A,3437.2,8.5781,84.7835,30.0879,0.2121,2.3216,0.1877,1.0,-0.3860525232196502
15/9-F-1 A,3437.3,8.5781,84.3285,31.2423,0.21,2.3162,0.1907,1.0,-0.37685412536206037
15/9-F-1 A,3437.4,8.5781,83.7563,30.8161,0.2065,2.3119,0.1932,1.0,-0.3684547721656906
15/9-F-1 A,3437.5,8.5781,83.1836,29.7559,0.2021,2.3093,0.1947,0.9981,-0.35605408725193327
15/9-F-1 A,3437.6,8.5781,82.2961,30.7302,0.1969,2.3095,0.1946,0.9797,-0.34055921812968226
15/9-F-1 A,3437.7,8.5781,81.2433,32.9549,0.1904,2.3116,0.1934,0.97,-0.3148855309534606
